PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
202700, Donatas Motiejunas, 1610612745, HOU, 70, 47, 23, 28.66, 28.66, 10946.91, 2.07, 1.09, 0.98, 4.34, 4.07
2748, Dorell Wright, 1610612757, POR, 48, 28, 20, 12.34, 12.34, 4506.79, 0.85, 0.47, 0.38, 4.16, 3.81
203926, Doug McDermott, 1610612741, CHI, 36, 23, 13, 8.91, 8.91, 3599.53, 0.68, 0.37, 0.31, 4.6, 4.21
203110, Draymond Green, 1610612744, GSW, 79, 64, 15, 31.52, 31.52, 11184.68, 2.12, 1.08, 1.04, 3.97, 3.56
2400, Drew Gooden, 1610612764, WAS, 51, 31, 20, 16.94, 16.94, 6144.61, 1.16, 0.61, 0.56, 4.13, 3.95
204079, Drew Gordon, 1610612755, PHI, 9, 0, 9, 7.91, 7.91, 3153.11, 0.6, 0.32, 0.28, 4.57, 4.32
202779, Dwight Buycks, 1610612747, LAL, 6, 1, 5, 20.46, 20.46, 7434.17, 1.41, 0.82, 0.59, 4.1, 3.7
2730, Dwight Howard, 1610612745, HOU, 40, 28, 12, 29.74, 29.74, 9930.78, 1.88, 0.99, 0.89, 3.81, 3.58
203939, Dwight Powell, 1610612742, DAL, 29, 11, 18, 8.15, 8.15, 3236.55, 0.61, 0.33, 0.28, 4.52, 4.06
2548, Dwyane Wade, 1610612748, MIA, 61, 27, 34, 31.71, 31.71, 11135.95, 2.11, 1.15, 0.96, 4.0, 3.68
202734, E'Twaun Moore, 1610612741, CHI, 56, 36, 20, 9.01, 9.01, 3426.09, 0.65, 0.34, 0.31, 4.37, 4.13
2853, Earl Barron, 1610612756, PHX, 16, 5, 11, 8.93, 8.93, 3346.94, 0.63, 0.34, 0.29, 4.25, 3.97
201947, Earl Clark, 1610612751, BKN, 10, 6, 4, 9.31, 9.31, 3519.3, 0.67, 0.35, 0.32, 4.32, 3.92
202334, Ed Davis, 1610612747, LAL, 79, 20, 59, 23.29, 23.29, 8824.91, 1.67, 0.88, 0.79, 4.31, 4.15
202327, Ekpe Udoh, 1610612746, LAC, 33, 24, 9, 3.89, 3.89, 1356.24, 0.26, 0.14, 0.12, 3.98, 3.88
203901, Elfrid Payton, 1610612753, ORL, 82, 25, 57, 30.35, 30.35, 11707.83, 2.22, 1.15, 1.07, 4.4, 4.12
202407, Elijah Millsap, 1610612762, UTA, 47, 25, 22, 19.65, 19.65, 7312.02, 1.38, 0.75, 0.64, 4.25, 4.07
202343, Elliot Williams, 1610612755, PHI, 13, 6, 7, 9.13, 9.13, 3504.31, 0.66, 0.36, 0.31, 4.34, 4.27
1882, Elton Brand, 1610612737, ATL, 36, 25, 11, 13.49, 13.49, 4736.64, 0.9, 0.48, 0.42, 3.99, 3.78
202683, Enes Kanter, 1610612760, OKC, 75, 32, 43, 28.48, 28.48, 10396.43, 1.97, 1.06, 0.9, 4.18, 3.88
202339, Eric Bledsoe, 1610612756, PHX, 81, 39, 42, 34.56, 34.56, 12471.63, 2.36, 1.26, 1.11, 4.1, 3.73
201569, Eric Gordon, 1610612740, NOP, 61, 35, 26, 33.08, 33.08, 11917.57, 2.26, 1.27, 0.98, 4.1, 3.63
203961, Eric Moreland, 1610612758, SAC, 3, 0, 3, 0.69, 0.69, 267.33, 0.05, 0.03, 0.02, 5.88, 5.18
203475, Erick Green, 1610612743, DEN, 43, 15, 28, 9.53, 9.53, 3668.21, 0.69, 0.36, 0.34, 4.37, 4.22
101141, Ersan Ilyasova, 1610612749, MIL, 57, 25, 32, 22.93, 22.93, 8155.72, 1.54, 0.79, 0.75, 4.04, 3.76
203095, Evan Fournier, 1610612753, ORL, 58, 19, 39, 28.64, 28.64, 10925.98, 2.07, 1.11, 0.96, 4.34, 3.98
202323, Evan Turner, 1610612738, BOS, 82, 40, 42, 27.56, 27.56, 10108.12, 1.91, 1.01, 0.9, 4.18, 3.82
203105, Festus Ezeli, 1610612744, GSW, 46, 39, 7, 10.95, 10.95, 4100.46, 0.78, 0.41, 0.37, 4.19, 3.91
101128, Francisco Garcia, 1610612745, HOU, 14, 10, 4, 14.31, 14.31, 5195.64, 0.98, 0.52, 0.46, 4.14, 3.94
203128, Furkan Aldemir, 1610612755, PHI, 41, 9, 32, 13.18, 13.18, 5004.95, 0.95, 0.5, 0.45, 4.33, 4.17
203539, Gal Mekel, 1610612742, DAL, 4, 2, 2, 10.87, 10.87, 4121.25, 0.78, 0.46, 0.32, 4.29, 3.8
202066, Garrett Temple, 1610612764, WAS, 52, 28, 24, 14.14, 14.14, 5431.96, 1.03, 0.53, 0.5, 4.35, 4.11
203914, Gary Harris, 1610612743, DEN, 55, 18, 37, 13.07, 13.07, 5079.29, 0.96, 0.49, 0.47, 4.41, 4.29
202390, Gary Neal, 1610612750, MIN, 54, 24, 30, 22.08, 22.08, 8000.89, 1.52, 0.85, 0.66, 4.12, 3.7
