PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
2449, Luis Scola, 1610612754, IND, 82, 56, 26, 17.06, 17.06, 6594.04, 1.25, 0.69, 0.56, 4.4, 4.07
202337, Luke Babbitt, 1610612740, NOP, 27, 9, 18, 17.53, 17.53, 6679.41, 1.27, 0.71, 0.55, 4.35, 3.92
2557, Luke Ridnour, 1610612766, CHA, 60, 21, 39, 18.82, 18.82, 7272.67, 1.38, 0.77, 0.6, 4.39, 3.97
2736, Luol Deng, 1610612739, CLE, 63, 29, 34, 35.12, 35.12, 12885.71, 2.44, 1.31, 1.13, 4.18, 3.9
203146, Maalik Wayns, 1610612746, LAC, 2, 2, 0, 4.68, 4.68, 1906.0, 0.36, 0.18, 0.18, 4.51, 5.52
202952, Malcolm Thomas, 1610612762, UTA, 8, 2, 6, 7.84, 7.84, 2896.13, 0.55, 0.3, 0.24, 4.24, 3.9
202412, Manny Harris, 1610612747, LAL, 9, 2, 7, 19.97, 19.97, 7645.22, 1.45, 0.71, 0.74, 4.35, 4.13
1938, Manu Ginobili, 1610612759, SAS, 68, 52, 16, 22.8, 22.8, 8454.35, 1.6, 0.85, 0.75, 4.22, 3.82
202705, MarShon Brooks, 1610612747, LAL, 35, 13, 22, 9.05, 9.05, 3403.94, 0.64, 0.33, 0.32, 4.3, 4.11
201188, Marc Gasol, 1610612763, MEM, 59, 40, 19, 33.39, 33.39, 10943.24, 2.07, 1.12, 0.96, 3.74, 3.63
101162, Marcin Gortat, 1610612764, WAS, 80, 44, 36, 32.75, 32.75, 12028.08, 2.28, 1.2, 1.08, 4.18, 3.89
201158, Marco Belinelli, 1610612759, SAS, 80, 61, 19, 25.2, 25.2, 9930.2, 1.88, 1.05, 0.84, 4.49, 3.94
202694, Marcus Morris, 1610612756, PHX, 82, 48, 34, 21.95, 21.95, 7998.6, 1.51, 0.79, 0.73, 4.16, 3.94
201977, Marcus Thornton, 1610612751, BKN, 71, 33, 38, 24.1, 24.1, 8629.66, 1.63, 0.85, 0.79, 4.1, 4.0
201596, Mario Chalmers, 1610612748, MIA, 73, 49, 24, 29.84, 29.84, 10546.44, 2.0, 1.06, 0.94, 4.03, 3.75
202693, Markieff Morris, 1610612756, PHX, 81, 47, 34, 26.58, 26.58, 8846.58, 1.68, 0.86, 0.82, 3.8, 3.66
203104, Marquis Teague, 1610612751, BKN, 40, 20, 20, 11.06, 11.06, 3835.5, 0.73, 0.4, 0.33, 3.95, 3.73
201578, Marreese Speights, 1610612744, GSW, 78, 47, 31, 12.45, 12.45, 4408.36, 0.83, 0.43, 0.41, 4.03, 3.87
101110, Martell Webster, 1610612764, WAS, 77, 42, 35, 27.62, 27.62, 9998.51, 1.89, 1.0, 0.9, 4.11, 3.89
101107, Marvin Williams, 1610612762, UTA, 66, 24, 42, 25.36, 25.36, 8948.71, 1.69, 0.91, 0.79, 4.02, 3.92
203486, Mason Plumlee, 1610612751, BKN, 69, 36, 33, 18.44, 18.44, 7028.67, 1.33, 0.69, 0.64, 4.35, 4.22
2440, Matt Barnes, 1610612746, LAC, 63, 45, 18, 27.54, 27.54, 10684.67, 2.02, 1.04, 0.98, 4.41, 4.05
2588, Matt Bonner, 1610612759, SAS, 61, 43, 18, 11.31, 11.31, 4431.89, 0.84, 0.46, 0.38, 4.46, 4.01
